"";"Annee";"Num_operation";"date_peche";"Code_station";"Code_espece_onema";"Code_INPN";"Effectif_peche"
"281";1986;8348;1986-06-20;"03102679";"BAF";67143;1
"282";1986;8348;1986-06-20;"03102679";"BRO";67606;9
"283";1986;8348;1986-06-20;"03102679";"CHA";69182;5
"284";1986;8348;1986-06-20;"03102679";"CHE";67310;8
"285";1986;8348;1986-06-20;"03102679";"GAR";67422;17
"286";1986;8348;1986-06-20;"03102679";"LOF";67550;8
"287";1986;8348;1986-06-20;"03102679";"LOT";68336;17
"288";1986;8348;1986-06-20;"03102679";"PER";69350;1
"289";1986;8348;1986-06-20;"03102679";"ROT";67466;1
"290";1986;8348;1986-06-20;"03102679";"TRF";67778;5
"291";1986;8348;1986-06-20;"03102679";"VAI";67404;90
"292";1986;8348;1986-06-20;"03102679";"VAN";67295;6
"293";1986;9805;1986-08-14;"03014309";"CHA";69182;335
"294";1986;9805;1986-08-14;"03014309";"CHE";67310;4
"295";1986;9805;1986-08-14;"03014309";"LOF";67550;18
"296";1986;9805;1986-08-14;"03014309";"LPP";66333;2
"297";1986;9805;1986-08-14;"03014309";"OBR";67759;2
"298";1986;9805;1986-08-14;"03014309";"TRF";67778;97
"299";1986;10103;1986-09-10;"03085846";"BRO";67606;3
"300";1986;10103;1986-09-10;"03085846";"CHA";69182;29
"301";1986;10103;1986-09-10;"03085846";"GAR";67422;1
"302";1986;10103;1986-09-10;"03085846";"PER";69350;2
"303";1986;10103;1986-09-10;"03085846";"TRF";67778;88
"304";1986;10103;1986-09-10;"03085846";"VAI";67404;47
"305";1986;10124;1986-09-08;"03022638";"BRO";67606;1
"306";1986;10124;1986-09-08;"03022638";"CHA";69182;15
"307";1986;10124;1986-09-08;"03022638";"CHE";67310;1
"308";1986;10124;1986-09-08;"03022638";"GAR";67422;17
"309";1986;10124;1986-09-08;"03022638";"GOU";67257;1
"310";1986;10124;1986-09-08;"03022638";"LOF";67550;3
"311";1986;10124;1986-09-08;"03022638";"LOT";68336;2
"312";1986;10124;1986-09-08;"03022638";"PER";69350;12
"313";1986;10124;1986-09-08;"03022638";"ROT";67466;1
"314";1986;10124;1986-09-08;"03022638";"TRF";67778;9
"315";1986;10124;1986-09-08;"03022638";"VAI";67404;46
"316";1986;10124;1986-09-08;"03022638";"VAN";67295;1
"317";1986;34335;1986-09-09;NA;"BAF";67143;10
"318";1986;34335;1986-09-09;NA;"CHA";69182;26
"319";1986;34335;1986-09-09;NA;"GOU";67257;266
"320";1986;34335;1986-09-09;NA;"LOF";67550;59
"321";1986;34335;1986-09-09;NA;"TRF";67778;264
"322";1986;34335;1986-09-09;NA;"VAI";67404;23
"323";1986;35676;1986-09-09;NA;"ANG";66832;62
"324";1986;35676;1986-09-09;NA;"BAM";67179;149
"325";1986;35676;1986-09-09;NA;"CHE";67310;170
"326";1986;35676;1986-09-09;NA;"GOU";67257;83
"327";1986;35676;1986-09-09;NA;"TRF";67778;40
"328";1986;35676;1986-09-09;NA;"VAI";67404;28
"329";1987;5222;1987-07-07;"04179565";"ANG";66832;18
"330";1987;5222;1987-07-07;"04179565";"CHA";69182;67
"331";1987;5222;1987-07-07;"04179565";"LOF";67550;5
"332";1987;5222;1987-07-07;"04179565";"LPP";66333;10
"333";1987;5222;1987-07-07;"04179565";"TRF";67778;120
"334";1987;5222;1987-07-07;"04179565";"VAI";67404;19
"335";1987;5226;1987-10-14;"04181960";"ANG";66832;9
"336";1987;5226;1987-10-14;"04181960";"CHA";69182;10
"337";1987;5226;1987-10-14;"04181960";"LOF";67550;3
"338";1987;5226;1987-10-14;"04181960";"LPP";66333;2
"339";1987;5226;1987-10-14;"04181960";"SAT";67765;49
"340";1987;5226;1987-10-14;"04181960";"TRF";67778;120
"341";1987;5226;1987-10-14;"04181960";"VAI";67404;3
"342";1987;8454;1987-05-26;"03020189";"CHA";69182;79
"343";1987;8454;1987-05-26;"03020189";"CHE";67310;4
"344";1987;8454;1987-05-26;"03020189";"EPT";69016;1
"345";1987;8454;1987-05-26;"03020189";"GAR";67422;3
"346";1987;8454;1987-05-26;"03020189";"GOU";67257;2
"347";1987;8454;1987-05-26;"03020189";"LOF";67550;7
"348";1987;8454;1987-05-26;"03020189";"LOT";68336;20
"349";1987;8454;1987-05-26;"03020189";"TRF";67778;12
"350";1987;8454;1987-05-26;"03020189";"VAI";67404;39
"351";1987;8454;1987-05-26;"03020189";"VAN";67295;35
"352";1987;8657;1987-09-16;"03041211";"ABH";67286;19
"353";1987;8657;1987-09-16;"03041211";"ABL";67111;1
"354";1987;8657;1987-09-16;"03041211";"BRO";67606;2
"355";1987;8657;1987-09-16;"03041211";"CHA";69182;105
"356";1987;8657;1987-09-16;"03041211";"CHE";67310;60
"357";1987;8657;1987-09-16;"03041211";"EPI";426026;6
"358";1987;8657;1987-09-16;"03041211";"GAR";67422;36
"359";1987;8657;1987-09-16;"03041211";"GOU";67257;85
"360";1987;8657;1987-09-16;"03041211";"LOF";67550;103
"361";1987;8657;1987-09-16;"03041211";"LPP";66333;1
"362";1987;8657;1987-09-16;"03041211";"PER";69350;63
"363";1987;8657;1987-09-16;"03041211";"ROT";67466;11
"364";1987;8657;1987-09-16;"03041211";"TAN";67478;1
"365";1987;8657;1987-09-16;"03041211";"TRF";67778;4
"366";1987;8657;1987-09-16;"03041211";"VAI";67404;351
"367";1987;8657;1987-09-16;"03041211";"VAN";67295;4
"368";1987;9886;1987-05-25;"03020132";"CHA";69182;113
"369";1987;9886;1987-05-25;"03020132";"EPT";69016;1
"370";1987;9886;1987-05-25;"03020132";"GAR";67422;26
"371";1987;9886;1987-05-25;"03020132";"LOF";67550;4
"372";1987;9886;1987-05-25;"03020132";"LPP";66333;4
"373";1987;9886;1987-05-25;"03020132";"TRF";67778;60
"374";1987;9886;1987-05-25;"03020132";"VAI";67404;2
"375";1987;10064;1987-09-15;"03041226";"BRO";67606;8
"376";1987;10064;1987-09-15;"03041226";"CHA";69182;78
"377";1987;10064;1987-09-15;"03041226";"CHE";67310;10
"378";1987;10064;1987-09-15;"03041226";"GAR";67422;1
"379";1987;10064;1987-09-15;"03041226";"GOU";67257;20
"380";1987;10064;1987-09-15;"03041226";"LOF";67550;21
